,DATEPRD,WELL_BORE_CODE,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,FLOW_KIND,WELL_TYPE,class
1,4/26/2014,NO 15/9-F-1 C,24,247.1990520833,108.0520302083,162.4222416667,NA,49.8445022917,84.7768104167,65.72369375,56.1479064583,1345.78,192602.19,0,production,OP,4
2,4/27/2014,NO 15/9-F-1 C,24,240.736416875,108.0538039583,159.8990197917,NA,50.296981875,80.8373970833,66.9337322917,52.2017470833,1349.56,194496.27,0,production,OP,2
3,4/28/2014,NO 15/9-F-1 C,24,235.0209314583,108.0416364583,157.68322,NA,50.7358785417,77.3377114583,67.8483479167,48.7075835417,1345.61,192899.71,0,production,OP,1
4,4/29/2014,NO 15/9-F-1 C,24,232.7437104167,107.987806875,156.794893125,NA,50.1139197917,75.9488172917,65.7069191667,47.3757145833,1279.46,184900.31,0,production,OP,9
5,4/30/2014,NO 15/9-F-1 C,24,233.2977779167,107.8932389583,157.179385,NA,48.9267902083,76.1183929167,62.7956439583,47.6106035417,1225.62,177107.86,0,production,OP,3
6,5/1/2014,NO 15/9-F-1 C,24,231.0888975,107.8769222917,156.3989777083,NA,48.9386289583,74.6899197917,62.376834375,46.1958433333,1212.9,174608.88,0,production,OP,1
7,5/2/2014,NO 15/9-F-1 C,24,231.4190052083,107.8168791667,156.6902379167,NA,48.3037045833,74.7287672917,60.747315625,46.1502997917,1074.04,154870.67,0,production,OP,7
8,5/3/2014,NO 15/9-F-1 C,24,230.7655452083,107.7954670833,156.6059666667,NA,48.17349875,74.1595785417,60.627934375,45.7327229167,1044.17,147929.93,0,production,OP,5
9,5/4/2014,NO 15/9-F-1 C,24,230.595831875,107.7643154167,156.687604375,NA,47.4660879167,73.9082275,58.2790216667,45.491345,970.2,139378.45,0,production,OP,5
10,5/5/2014,NO 15/9-F-1 C,24,229.423676875,107.7797316667,156.4292629167,NA,47.8400195833,72.9944139583,54.9047225,44.54851,946.12,136980.49,0,production,OP,9
11,5/6/2014,NO 15/9-F-1 C,24,225.9024775,107.8602202083,154.9508602083,NA,49.0055822917,70.9516172917,58.8828114583,42.4499539583,1002.83,144950.15,0,production,OP,1
12,5/7/2014,NO 15/9-F-1 C,24,225.76834875,107.8381654167,155.0585358333,NA,47.9203995833,70.7098129167,57.4256422917,42.0489385417,925.31,135000.24,0,production,OP,6
13,5/8/2014,NO 15/9-F-1 C,24,225.6869227083,107.821048125,155.1419022917,NA,47.2969477083,70.5450204167,57.655958125,41.1591889583,913.86,127564.51,0,production,OP,9
14,5/9/2014,NO 15/9-F-1 C,13.83334,227.7978384931,107.5994551585,156.8522170487,NA,29.1335870833,70.9456214444,55.955302393,41.7452302096,176.8,24322.7,0,production,OP,7
15,5/10/2014,NO 15/9-F-1 C,24,226.0609147917,107.68369,155.1649714583,NA,48.1343847917,70.8959433333,57.3737785417,41.9045797917,944.19,52162.58,0,production,OP,4
16,5/11/2014,NO 15/9-F-1 C,24,225.0966854167,107.836451875,155.16161875,NA,47.4938872917,69.9350666667,58.0243335417,41.4834895833,823.41,117731.72,0,production,OP,10
17,5/12/2014,NO 15/9-F-1 C,24,226.0226927083,107.7716664583,155.7965058333,NA,46.93359,70.226186875,56.88541625,41.8065447917,769.01,111238.01,0,production,OP,1
18,5/13/2014,NO 15/9-F-1 C,24,226.9049951064,107.7174731915,156.5767671897,NA,46.3351989583,70.3282279167,54.25530875,41.925575,740.8,107144.4,0,production,OP,5
19,5/14/2014,NO 15/9-F-1 C,24,225.5762497872,107.7414347917,156.2037677039,NA,45.1620895833,69.3724820833,54.9953570833,40.98107625,713.24,102880.55,0,production,OP,2
20,5/15/2014,NO 15/9-F-1 C,24,225.8925989583,107.7093587234,156.82564125,NA,46.3164439583,69.0669577083,48.5981245833,40.6505989583,743.83,106745.44,0,production,OP,3
21,5/16/2014,NO 15/9-F-1 C,24,225.7007978723,107.7102341667,157.107943914,NA,46.3461420833,68.5928539583,48.3777547917,40.13814,736.09,104864.02,0,production,OP,3
22,5/17/2014,NO 15/9-F-1 C,24,223.6025104167,107.7776922917,156.346404375,NA,47.08721125,67.2561060417,53.9207735417,38.8398520833,782.88,110078.32,0,production,OP,1
23,5/18/2014,NO 15/9-F-1 C,24,220.1019622917,107.8890295745,154.69510125,NA,47.769806875,65.4068610417,53.8315133333,36.990086875,834.68,117387.58,0,production,OP,9
24,5/19/2014,NO 15/9-F-1 C,24,220.4904389362,107.8604229167,155.1761033112,NA,47.13594875,65.314335625,55.7536079167,36.9060508333,788.8,109517.37,0,production,OP,9
25,5/20/2014,NO 15/9-F-1 C,24,220.153866875,107.8586483333,155.2375104167,NA,47.14246875,64.9163564583,55.628124375,36.5093847917,783.06,109362.2,0,production,OP,6
26,5/21/2014,NO 15/9-F-1 C,24,220.0658939583,107.851481875,155.3745822917,NA,46.5245908333,64.6913116667,52.2363966667,36.280858125,743.77,104993.12,0,production,OP,1
27,5/22/2014,NO 15/9-F-1 C,24,219.982621875,107.8523675,155.5467583333,NA,46.2889975,64.4358635417,53.6611322917,36.01890375,735.41,107115.77,0,production,OP,4
28,5/23/2014,NO 15/9-F-1 C,24,219.8629260417,107.8672185417,155.572074375,NA,46.284226875,64.2908516667,49.0529802083,35.873076875,742.89,108079.03,93.31,production,OP,7
29,5/24/2014,NO 15/9-F-1 C,24,219.922990625,107.88298,155.7527385417,NA,46.2421579167,64.1702520833,54.6906875,35.7507097917,746.54,108387.02,100.42,production,OP,5
30,5/25/2014,NO 15/9-F-1 C,24,219.9771025,107.9027877083,155.9044441667,NA,46.2616772917,64.0726583333,55.231164375,35.6713129167,750.57,105809.71,101.01,production,OP,1
31,5/26/2014,NO 15/9-F-1 C,24,219.9737753191,107.9207114583,156.0433946941,NA,46.2651066667,63.930380625,55.1025279167,35.528916875,727.26,106514.13,86.62,production,OP,1
32,5/27/2014,NO 15/9-F-1 C,24,219.9804752083,107.9364622917,156.2432608333,NA,46.2263333333,63.737214375,55.311219375,35.3348383333,715.5,105800.29,91.08,production,OP,8
33,5/28/2014,NO 15/9-F-1 C,24,219.2666672917,107.4447102083,155.7155754167,NA,46.215003125,63.551091875,55.508233125,35.1554952083,695.01,102249.56,76.96,production,OP,1
